Title of signal;Translated Title;Factor;Link;Source Date;Insights;Context;Implication;Organisations;Countries;Tags
Deere introduces new 1745 Planter with narrow-transport capability;;Competitors and Suppliers;https://www.deere.com/en/our-company/news-and-announcements/news-releases/2020/agriculture/2020feb11-planter-with-narrow-transport-capability/;2020-02-11;In the USA John Deere (JD) introduced the new 1745 MaxEmerge 5 Planter, which is compatible with older tractors with at least 95 drawbar hp because of its simple design and comes with narrow-transport capability. The new planter can be quickly folded for transport from the cab. Once folded, it's compact size tracks within the duals of the tractor for stable, narrow transport under 13-foot (3.9 m) high. The 1745 is an economical planter in a split-row configuration that's capable of planting soybeans on 15-inch rows and corn on 30-inch rows. When fitted with optional RowCommand individual-row control, the planter can help reduce the seed costs by 4.3% on average. The 1745 has two configurations: an 8-row, 30-inch or a 15-row, 15-inch configuration. Three commodity storage options are available and include 1.6- and 3-bushel row hoppers or mini hoppers with the 50-bushel CCS central fill seed delivery system. The 1745 can be fitted with the optional SeedStar XP monitoring system, which provides operators with detailed planter performance information and lets them make machine adjustments as needed. JD will be taking orders for the new Planter from June 2020 while shipments will begin in the fall of 2020. (SONEAN: JD has also expanded its air-seeding equipment lineup with the new C650 Air Cart, which can be ordered in either tow-behind or tow-between configurations. With its 650-bushel capacity, high-flotation tires and fill rate of up to 100 bushels per minute, the C650 Air Cart is developed for customers who look for an air cart with a capacity between 550 and 850-bushels. See the context for more details);;The new cart comes with a digital cart-side display, the ActiveCal on-demand calibration feature and an integrated wiring harness that provides connections for five camera locations, one in each tank and a fifth that provides a rear-hitch view. Other features include the SectionCommand to manage seed and fertilizer application by minimizing overlaps and skips and the AirPower 2 to provide two fans, one for seed and one for fertilizer. Additional features from the larger C850 Cart are also included on the C650, including hydraulic rear disc brakes, in-tank camera mounts, LED working lights, conveyor weather cover and digital tank air pressure monitoring. The C650 is compatible with select hoe drills and no-till drills. Like the new 1745 MaxEmerge 5 planter, orders for the new cart will be taken from June 1 with deliveries staring in fall 2020 (https://bit.ly/2vvFPDp). JD is now also offering a new, factory-installed ExactRate Liquid Fertilizer Application System for its planters. The new system is ideal for farmers who apply liquid fertilizer during planting and want accurate nutrient placement (https://bit.ly/2tWlG9q).;John Deere (Deere & Co.);United States;Product Launches,Implements,Precision Technology,Product Upgrades
Agerris to release the Digital Farmhand for horticulture;;Competitors and Suppliers;https://www.queenslandcountrylife.com.au/story/6624617/release-the-robots/?cs=4720;2020-02-11;Agerris (https://agerris.com/), a spin-off from the University of Sydney's Australian Centre for Field Robotics, plans to market its farmbots, including the Digital Farmhand and the pastoral Swagbot, to farmers on a commercial basis. In autumn 2020 the company will be starting crop-intelligence weeding services with its Digital Farmhand robot, while Swagbot, which is targeted at livestock grazing farms, is also on its way to commercialisation. Agerris received investment funding in April 2019 following 15 years of prototype development.;;;Agerris,University of Sydney;Australia;Product Launches,Precision Technology
Ohio Valley Insurance and Farmers Edge Form Strategic Alliance to Digitize Crop Insurance Services and Offer Customized, Data-Driven Coverage to Growers;;Competitors and Suppliers;https://www.farmersedge.ca/ohio-valley-insurance-and-farmers-edge-form-strategic-alliance-to-digitize-crop-insurance-services-and-offer-customized-data-driven-coverage-to-growers/;2020-02-12;Farmers Edge, a Canadian provider of digital agriculture solutions, announced a new partnerships with yet-another U.S. insurance provider, Ohio Valley Insurance, which will use Farmers Edge’s FarmCommand platform. Ohio Valley Insurance is based in Kentucky and also operates in neighboring states, including Indiana, Illinois, Tennessee, and Missouri, providing crop insurance to growers cultivating diverse crops such as barley, corn, soybean, sorghum, tobacco, and wheat, https://bit.ly/31POOLN. Just recently Farmers Edge announced a similar agreement with Gibson Insurance Group so that the insurance company could establish a data-driven insurance model to be offered throughout the U.S. Midwest, https://bit.ly/2OPpO2c. And, at the end of January 2020 the Canadian company partnered with American Crop Insurance, a U.S. provider of insurance services in the Northeast region of USA, for a new insurance model based on data from FarmCommand platform, https://bit.ly/31Y2owY.;;;Farmers Edge,Ohio Valley Insurance,Gibson Insurance Group,American Crop Insurance;Canada,United States;Alliances,Precision Technology,Digitalization
Largest CLAAS partner;;Intermediaries and customers;https://www.danishagro.com/press/press-releases/press-release/largest-claas-partner?Action=1&PID=114726&LayoutTemplate=Designs/Danish-Agro-EN/en-tekstside-details.html;2020-02-12;"As stated earlier, with the approval of the acquisition of Claas dealerships in Estonia, Latvia and Lithuania, Danish Agro (DA) will become Claas’ largest partner internationally. DA currently represents Claas in seven countries - Denmark, Norway, Sweden, Finland, Estonia, Latvia and Lithuania. In 2020 the company is expecting a turnover of approximately EUR 675 mn for its machinery division which also includes activities in Poland and the Czech Republic. In 2019 the machinery division grew by 11% to EUR 523 mn in a decreasing market. The operating income of the division was EUR 10 mn. According to the company, the growth it has experienced in the past 4 years reflects a strong and trusting relationship with Claas. DA also represents New Holland in Poland and AGCO in the Czech Republic.
(SONEAN: DA's overall turnover increased in 2019 by 7% to a record of EUR 4.7 bn. The company’s earnings have been also influenced by very low yields from the group’s shares in German Agravis whose earnings were hit by extraordinary costs “in connection with the end of a year-long trial”. DA sets now ambitious financial targets for 2020, including a consolidated turnover of EUR 4.7-4.8 bn and an investment of EUR 40 mn, https://bit.ly/2SBsem4. In 2019 DA sold 2,050 tractors and 450 combine harvesters, new and used. For 2020 machinery sales of DA are expected to increase to around DKK 5 bn (EUR 736 mn) after inclusion of the business in the Baltic countries while the company expects sales of 2,200 tractors and 600 combine harvesters, both new and used, https://bit.ly/2vtBm4f. After investing in FieldSense and Grainit within its digitalisation strategy, DA has just signed an new agreement with Canadian SoilOptix to offer the digital analysis scanner of the company in Nordic and Baltic markets. See the context for more details)";;Since 2018 DA has come a long way with its digitalisation strategy. DA has entered into partnerships and invested in companies. One such an investment was in FieldSense, which offers weather stations. There are currently already 1,000 FieldSense weather stations used in Denmark. The weather stations are also increasingly being used in other countries including Sweden, Finland and Estonia. Another DA investment was in Grainit, an app that makes inventory management of various inputs including crops, fertiliser, plant protection products and fodder easy and intuitive. The app has become increasingly popular in Denmark. During the 2019 harvest 600,000 tons of crop inventory was managed via the app. In 2020 DA will also start offering the digital analysis tool of its new Canadian partner SoilOptix (https://bit.ly/38pVym6). DA has entered into an exclusive agreement in the Nordic countries and Baltic States with SoilOptix, which has developed a scanner that measure the gamma radiation from the fields’ soil layers hectare by hectare. The measured radiation data is analysed via mathematical models and calibrated via a few traditional physical soil samples, providing a precise snapshot of the field’s condition across more than 20 parameters (https://bit.ly/2Sl1nf0).;Danish Agro,Claas (CLAAS KGaA mbH),New Holland (CNHI),AGCO Corporation,FieldSense,Grainit,SoilOptix,AGRAVIS Raiffeisen AG;Canada,Czech Republic,Germany,Denmark,Estonia,Finland,Lithuania,Latvia,Norway,Poland,Sweden;Reporting,Alliances,Corporate M&A,Digitalization,Precision Technology,Tractors,Harvesters
RWZ treibt digitale Lösungen für den Ackerbau voran;RWZ is driving digital solutions for agriculture;Intermediaries and customers;https://www.rwz.de/pressemitteilungen/rwz-treibt-digitale-loesungen-fuer-den-ackerbau-voran/;2020-02-13;German cooperative Raiffeisen Waren-Zentrale Rhein-Main eG (RWZ) is now offering digital solutions for determining fertilizer requirements, cultivation planning and arable farming documentation from FarmFacts GmbH in the German states of North Rhine-Westphalia, Rhineland-Palatinate, Saarland and Hesse. FarmFacts is a subsidiary of BayWa, another German agricultural cooperative.;;;Raiffeisen Waren-Zentrale Rhein-Main eG,FarmFacts GmbH,BayWa AG;Germany;Alliances,Precision Technology
Climate FieldView Terminates Platform Partner Agreement with Tillable;;Competitors and Suppliers;https://www.climate.com/newsroom/fieldview-terminates-platform-partner-agreement-with-tillable;2020-02-14;Based upon feedback from its customers, The Climate Corporation (TCC) announced that it has decided to terminate the agreement with Tillable for its Climate FieldView platform. According to TCC, it has not, does not and will not share with or sell the customers’ personal information or farm data to any third-party platform partners without customers’ consent. Furthermore, TTC has not enabled any data sharing with Tillable nor the company has any investment interests in Tillable.;;;The Climate Corporation,Tillable;United States;Reporting,Alliances,Precision Technology
Sencrop acquiert le réseau de stations météo VisioGreen;Sencrop acquires VisioGreen weather station network;Competitors and Suppliers;https://www.pleinchamp.com/machinisme/actualites-machinisme/sencrop-acquiert-le-reseau-de-stations-meteo-visiogreen;2020-02-14;Sencrop (https://sencrop.com/), a French startup that manufactures connected rain gauges, anemometers, and leaf wetness sensors, is to acquire VisioGreen (https://www.visiogreen.io/), a French manufacturer of weather stations. Founded in 2017, Visio-Green was a subsidiary of Latitude GPS (https://www.latitudegps.com/), a French GPS guidance solutions provider and Trimble dealer. Sencrop now has a network of 11,300 stations, which is the largest network in Western Europe. In January 2019, the start-up had raised USD 10 mn.;;;Sencrop,VisioGreen,Groupe Latitude GPS,Trimble Inc;France;Corporate M&A,Precision Technology
Fruchtwelt Bodensee: BayWa präsentiert Kulturschutz-Lösungen mit künstlicher Intelligenz und in 3D;Fruchtwelt Bodensee: BayWa presents culture-protection solutions with artificial intelligence and in 3D;Intermediaries and customers;https://www.baywa.com/presseinformationen/fruchtwelt-bodensee-baywa-praesentiert-klimaschutz-loesungen-mit-kuenstlicher-intelligenz-und-in-3d.html;2020-02-14;The agricultural robot Oz of the French start-up Naio Technologies has already passed the first tests in vegetable growing, organised by German cooperative BayWa. At the Fruchtwelt Bodensee exhibition in Germany, BayWa will discuss with German fruit growers how the robot can be adapted to their needs.;;;BayWa AG,NAIO Technologies;Germany;Precision Technology,Alliances
Provide your chickens with nothing but the best;;Competitors and Suppliers;http://metos.at/provide-your-chickens-with-nothing-but-the-best-with-ecod3-and-cropview/;2020-02-17;Together with Serbian IoT company DunavNET (https://dunavnet.eu/) and a farm in Serbia the Metos brand of Pessl Instruments concluded a Chicken Health Assessment Tools project. Pessl Instruments provided its iMETOS ECO D3 data loggers for environmental monitoring, iMETOS CropVIEW for remote image monitoring, the access to data through its API and the representation of data on FieldClimate platform for the project, helping the farmer to keep constant control of his animals. The partners now strongly believe animal breeders will recognize the importance of such monitoring, therefore making the configuration available for any animal breeder, https://bit.ly/39ATgRs. Pessl Instruments, the Austrian manufacturer of measurement devices, has plans for expansion in Hungary and is looking for a partner, after its Metos brand has installed more than 1000 weather stations in the country in recent years. Pessl Instruments has presence in Europe and North America, South America, Asia, Africa, New Zealand and Australia. The latest partnership agreement of the company was in December 2019 with Glacier FarmMedia in Canada, https://bit.ly/37zl72M.;;;Pessl Instruments,DunavNET,Glacier FarmMedia;Austria,Australia,Canada,Hungary,New Zealand,Serbia;Alliances,Precision Technology
Basic Management Policy and Priority Measures 2020;;Competitors and Suppliers;https://www.kubota.com/company/ir/financial/presentation/pdf/mp131e.pdf;2020-02-19;Japanese manufacturer Kubota Corporation published a new document about its basic management policy and priority measures. After creating a concrete plan of advanced development, the company has already invested in Advanced Farm Technologies and Abundant Robotics while also establishing an office at Wageningen University in the Netherlands. The plan, dubbed Mid Term Business Plan, foresees three themes with impact in various regions. The first theme is about the continuous growth of the company in its core business. In North America and Thailand this should follow by deepening business opportunity by expanding the product lineup while in Japan the development of smart farming and total solutions as countermeasures against aging and labor shortage have priority. Expanding its strategic business is another theme, which anticipates the start of domestic production in India and an accelerated growth in ASEAN countries ex Thailand. In Europe and North America Kubota plans to come up with large sized farm equipment to increase its market presence. Developing its business in “emerging markets” (i.e. Africa, Latin America, Eastern Europe and Turkey) will be dealt “promptly” with utilizing “outside resources”. (SONEAN: see the context for other relevant insights from the plan. At the 2020 National Farm Machinery Show in Louisville, USA, Kubota announced the availability of the new M8 Series tractor, its largest and highest horsepower tractor series manufactured by Canadian Buhler Industries, starting 1 March 2020, https://bit.ly/2P6KNxn);;Another interesting aspect of the plan is the creation and provision of total solutions through digital transformation. Those total solutions are also divided into three areas, one for stakeholders (customers, dealers and suppliers), another for Kubota itself to transform the operation and production processes. The third one is for the customers to whom Kubota aims to deliver an expanding lineup of automatic driving products and services while also utilizing new technologies like AR and sensors. It is also interesting to note that besides the core businesses of farm equipment, engines and construction machinery Kubota aims to also expand its Water & Environment business, which includes membrane solutions and water pipes.;Kubota Corporation,Wageningen Universiteit en Researchcentrum,Advanced Farm Technologies,Abundant Robotics;Japan,Netherlands,Thailand,Turkey;Reporting,Strategy,Market Entry,Tractors,>100 HP,Digitalization,Precision Technology
SDF: connettività fa rima con produttività;SDF: connectivity rhymes with productivity;Competitors and Suppliers;https://www.meccagri.it/sdf-connettivita-fa-rima-con-produttivita/;2020-02-20;Besides presenting its latest medium-sized open field and high power tractors and combines at Fieragricola 2020 Deutz-Fahr has also provided insights into its digital solutions developed by parent SDF Group. Apart from various high-precision automatic guidance systems, ISOBUS applications, data management and fleet management introduced earlier the new Connected Farming Systems includes also apps such as myDeutz-Fahr, which can be used to manage the communication between the machine and implement. Another novelty is that SDF Fleet Management is offered in two versions: BTM (Basic Telematics Module), which represents the basic level for the transmission of the operating data of the machine to a mobile device and CTM (Communication Telematics Module), which transfers data directly to the office using an integrated e-Sim card. The key element for the Connected Farming Systems package presented by Deutz-Fahr is the new iMonitor3, which is offered with 8 or 12-inch screens and allows the operator to monitor and change tractor settings, automatic guidance systems, ISOBUS devices, data management, also managing activities such as mapping processing applications or automatic operation up to a maximum of 200 sections. As an alternative to a second monitor activities that require the simultaneous control of the implements can be also managed by the Xtend device, which connects to the iMonitor external mobile devices, such as tablets.;;;Deutz-Fahr (SDF Group);Italy;Precision Technology,Product Launches,Telematics,Digitalization
Approfitta dei vantaggi fiscali introdotti con la legge di bilancio 2020! Risparmia il 40% sulla tua nuova seminatrice Maschio Gaspardo!;Take advantage of the tax advantages introduced by the 2020 Budget Act! Save 40% on your new Maschio Gaspardo seed drill!;Competitors and Suppliers;https://www.maschio.com/news/view/450/it_IT;2020-02-21;With the Budget Law for 2020 new benefits have been introduced in Italy for those who invest in capital goods related to Industry 4.0. Within that context it is possible to acquire agricultural machinery connected to computers and precision agriculture equipment that allow remote processing of data with farm management tools while the delivery must take place by 30 June 2021 at the latest. An advance payment of at least 20% must also be made by 31 December 2020. Italian manufacturer Maschio Gaspardo (MG) is riding on this wave and announced that its seed drills with ISOBUS that are equipped with MG-Live are eligible for obtaining the benefits of the 2020 Budget Law. MG’s seed drills come with a tax credit equal to 40% of the cost of the equipment and 5 annual instalments. MG´s offer is valid for all precision disc seed drills, both with mechanical and electrical transmission, precision pneumatic seed drills and fertiliser and seed drill combinations with ISOBUS and MG-Live. MG-Live is MG’s mobile communication system that allows remote control of work and geolocation data through the farm management system. (SONEAN: according to an example calculation by MG for a seed drill that would cost EUR 100,000, Italian customers would need to pay only 5 annual instalments of merely EUR 8,000 after a EUR 40,000 deduction and EUR 20,000 advance payment, https://bit.ly/32kZ0wc. See the context for the details of tax credit provided by the new law as well as for a recent acquisition by MG in Cremona to convert its facility there);;The tax credit provided with the Budget Law 2020 is an extension of a law introduced in 2017 and foresees an annual maximum credit limit determined on the basis of the company size. Accordingly, small businesses are eligible for 50% of the expenses up to an annual limit of EUR 300,000 while medium-sized companies get 40% back from their expenses up to EUR 250,000. For large businesses these figures are 30% tax credit and EUR 250,000 maximum amount (https://bit.ly/2T7KUu1). At the end of January 2020 MG singed a purchase contract for the facility of the bankrupt ViviBike in Cremona (https://bit.ly/2wJ6qO7). The acquisition would allow the manufacturer to reopen the negotiations with the municipality to convert its Cremona facility, which is near to the ViviBike facility, from an industrial area to a commercial one (https://bit.ly/38WmgDb).;Maschio Gaspardo,Government of Italy;Italy;Tax Incentives,Implements,Precision Technology,Corporate M&A,Capacity Increase,Campaigns,Financing,Subsidies
RAVEN INDUSTRIES TO SHOWCASE AUTONOMOUS AGRICULTURE TECHNOLOGY AT DOT® DEMO DAYS;;Competitors and Suppliers;https://ravenprecision.com/news/raven-industries-to-showcase-autonomous-agriculture-technology-at-dot-demo-days;2020-02-24;Raven Industries, a majority owner of Dot Technology Corp. (DOT), will be displaying the latest advancements in autonomous agriculture at DOT's Demo Days in Maricopa, Arizona in spring 2020. DOT is now powered by Raven’s suite of machine control technology, including the RS1 for steering and guidance, Slingshot for remote support and connectivity, and Raven’s object detection and avoidance solution. DOT completes tasks autonomously. Raven and DOT are preparing for commercialization of the technology. Raven has also partnered with Razor Tracking, https://www.razortracking.com/, a SaaS and mobile application based fleet tracking and management system, to provide ag retailers and enterprise farms with an expanded fleet and asset tracking suite through the company’s Slingshot platform.;;;Raven Industries,Dot Technology Corp,Razor Tracking;United States;Product Upgrades,Campaigns,Precision Technology,Telematics,Alliances,Digitalization
AVL ontwikkelt volledig elektrische trekker;AVL develops a fully electric tractor;Competitors and Suppliers;https://www.mechaman.nl/tuin-en-park-techniek/2020/02/24/avl-ontwikkelt-volledig-elektrische-trekker/;2020-02-24;AVL, an Austrian independent powertrain consultancy and research company, has been working on a fully electric tractor. Its E-Tractor consists of a basic frame that contains all components while the OEM partners of the company can determine the layout on the frame itself, e.g. by placing the cabin at the front. The battery pack is in the centre of the frame and supplies power to four wheel motors. All four wheels can steer, the turning radius is small. An optional battery pack can also be fitted onto the base frame. All hydraulic components such as the pump and the tank are also placed in the frame. AVL is currently working on the first prototype of the E-Tractor and expects to introduce the first model in 2021. A video of AVL reveals that the company is working on an autonomous version for arable farming.;;;AVL List;Austria;Tractors,Alternative Engines,Precision Technology
Swarming robots avoid collisions, traffic jams;;Universities and Multipliers;https://news.northwestern.edu/stories/2020/02/swarming-robots-avoid-collisions-traffic-jams/;2020-02-24;For self-driving vehicles to become an everyday reality, they need to safely and flawlessly navigate with one another without crashing or causing unnecessary traffic jams. To help make this possible, Northwestern University researchers have developed the first decentralized algorithm with a collision-free, deadlock-free guarantee. The researchers tested the algorithm in a simulation of 1,024 robots and on a swarm of 100 real robots in the laboratory. The robots reliably, safely and efficiently converged to form a pre-determined shape in less than a minute. The advantage of a swarm of small robots versus one large robot or a swarm with one lead robot is the lack of a centralized control, which can quickly become a central point of failure. The new decentralized algorithm acts as a fail-safe.;;;Northwestern University;United States;Innovation,Precision Technology
Smart Reporting with a field database;;Competitors and Suppliers;https://landmaschinen.krone.de/english/news/smart-reporting/;2020-02-25;Krone has added the new Smart Reporting feature to its Smart Telematics system. Smart Reporting allows contractors to evaluate easily and fast all harvesting data that relate to all fields harvested or being harvested. This is done from a PC or tablet and without recording the field boundaries as a first step. A click is enough to select the entire bout and retrieve all major machine data such as the time the machine has clocked in the particular field, the number of bales deposited here as well as yield levels and fuel consumed. Krone Smart Telematics detects the field boundaries by using Sentinel satellite data and is available for all Krone Big Line machines (Big X, Big M, Big Pack), many Krone round balers, Krone forage wagons and silage trailers. The system is free of charge for two years. Users can naturally upload all data to the Agrirouter that is provided by DKE Data GmbH where farmers and contractors can share the data with other systems.;;;Krone;Germany;Telematics,Product Upgrades,Precision Technology,Gifts
Die Richtige Wahl für Ihre Finanzierung;The right choice for your financing;Intermediaries and customers;https://www.clooskraus.lu/news/fiche/die-richtige-wahl-fur-ihre-finanzierung;2020-02-25;Cloos & Kraus, the national dealer of John Deere (JD) in Luxembourg, has a new promotion for all JD tractors over 150 hp, which can be financed with 0.00% interest rate and a term of 5 years or 0.49% interest for a period of 7 years. In addition, the tractors come equipped with a connectivity package that includes FarmSight, JDLink and Modular Telematics Gateway (MTG). This promotion is valid until 30 April 2020.;;;Cloos & Kraus,John Deere (Deere & Co.);Luxembourg;Campaigns,Tractors,>100 HP,Precision Technology,Financing,Telematics,Gifts
PERFECT SEED PLACEMENT WITH A NEW DESIGN;;Competitors and Suppliers;https://lemken.com/en/lemken-news/news/detail/detail/perfect-seed-placement-with-a-new-design/;2020-02-26;Lemken announced updates to its Saphir mechanical and Solitair pneumatic seed drills, which have a new look. Both handling and operating comfort of both drills have been improved. The new Saphir 9 features the electronic EcoDrill control, which is operated via the LET-40 terminal with touch display. The hopper has been redesigned while the design of the access grille, loading bridge and handrail have been improved. The redesigned Solitair 8+ and 9+ also feature an updated hopper design and lid. A new calibration sensor on the drill saves farmers having to move between the implement and tractor when calibrating. The access step has also been improved, and the access grille can now be folded up. The pre-emergence markers and harrows of the Solitair 25 can also be fitted to the Saphir 9 and Solitair 8+ and 9+, https://bit.ly/3agwA9z. In 2019 Lemken had presented iQblue connect retrofitting kit for mechanical implements. When combined with Tractor Implement Management (TIM), the device allows numerous functions of purely mechanical implements to be automated. Operators need only a single iQblue connect module, which can be used with a range of implements. The module is connected to the tractor via its ISOBUS interface. It also features GPS and a mobile data connection for communication. Data is transmitted via the Agrirouter. Depending on the intended use, a sensor kit is permanently installed on the implement to record the required information and pass it on to the iQblue connect module (https://bit.ly/3cgj4nR).;;;Lemken;Germany;Product Upgrades,Implements,Precision Technology
Case IH Launches New AFS Connect Steiger Series Tractors;;Competitors and Suppliers;https://media.cnhindustrial.com/NORTH-AMERICA/ALL/LATEST-NEWS/case-ih-launches-new-afs-connect-steiger-series-tractors/s/4650cb9f-e848-4683-84cf-ba196256d0b8;2020-02-27;In the USA Case IH introduced the new AFS Connect Steiger series tractor, which will be available in Quadtrac, Rowtrac and wheeled configurations from 370 to 620 hp. The cabin of the new tractor is redesigned and comes with: 1) Ergonomic MultiControl armrest with eight control buttons, a MultiFunction Handle with four programmable hot keys and an encoder knob 2) New heating, ventilation and air conditioning 3) 29 power connectors and diagnostic ports 4) Standard leather seat with ventilation 5) Advanced steering system with adjustable steering rates 6) 360-degree performance lighting that can be grouped to turn on and off 7) Adjustable telescoping mirrors. The AFS Connect technology furthermore which is embedded into the cab, is powered by three system components: 1) AFS Pro 1200 display, which provides visibility also at night and features four exterior camera feeds, bluetooth pairing, and remote display viewing 2) The new AFS Vision Pro operating system, which allows the operators to configure the tractor with either a rotary dial or touch screen 3) AFS Vector Pro receiver, which has an improved guidance and comes with guidance correction options, ranging from base (WAAS and AFS 1) to medium (AFS 2) to high (RTK and AFS RTK+) accuracy levels. In addition, the tractor comes with a 5-year subscription to the AFS Connect farm management portal and two transmission options, the PowerDrive powershift transmission and CVXDrive and 600-hour oil change intervals and ground-level maintenance. (SONEAN: In the context you will read more about Case IH's introduction of enhancements for its Precision Air 5 series air carts in the USA. In Turkey furthermore Case IH, via its representative Türk Traktör, presented at Izmir AgroExpo 2020 new tractors and complementary agricultural implements. The multi-purpose Case IH JXE Series was introduced for the first time and is composed of two models, the JX55E and JX65E, which come with 55 and 65 hp engines, 8x8 transmission, a strong hydraulic system and ergonomic controls. In addition, Case IH ProGuide was introduced, the first tractor series in Turkey to feature a local automatic steering system. The ProGuide tractors are offered in 90 and 110 hp versions while its automatic steering system enables operation with 2.5 cm accuracy. Finally, Case IH and RedPro-branded variable chamber cylindrical balers, disinfection machinery as well as classic and mouldboard ploughs and trailers were also on display in Turkey for the first time.);;In the USA Case IH is also introducing enhancements for its Model Year 2021 Precision Air 5 series air carts, which are equipped with individual tank weight scales. With the ability to check individual tank weight in the cab, the feature indicates how many acres the operator will cover until the product tank is empty. The feature is also available with carts having capacities from 350 to 950 bushels. In addition, the lineup is available with a new curve compensation option designed to ensure proper plant population across the drill in tight turns and corners. With this option, the AFS AccuSection modular metering system controls each individual meter independently. The lineup will also include two new three-tank air cart tow-behind configurations: Precision Air 3725 and Precision Air 3915. All air carts can now be ordered without an on-board fill system to reduce the cost for those who would use an off-board solution (https://bit.ly/38gJL8V). Türk Traktör also offers credit opportunities starting with an interest rate of 0% depending on the due term and total amount (https://bit.ly/2TnKmQA).;Case IH (CNHI),Türk Traktör ve Ziraat Makineleri A?;Turkey,United States;Product Launches,Tractors,>100 HP,Implements,50-100 HP,Campaigns,Financing,Precision Technology,Product Upgrades
New Holland unveils T9 with PLM Intelligence, its most powerful and connected tractor to date;;Competitors and Suppliers;https://media.cnhindustrial.com/NORTH-AMERICA/ALL/LATEST-NEWS/new-holland-unveils-t9-with-plm-intelligence--its-most-powerful-and-connected-tractor-to-date/s/4c5aa41f-16aa-4c1a-9a50-c8c1892e6f2c;2020-02-27;"In North America New Holland (NH) is introducing the new T9 with PLM Intelligence lineup, featuring seven models between 370 to 620 hp, two transmission options, the traditional Ultra Command full PowerShift and the AutoCommand CVT, and track or wheel options. In addition, NH’s latest PLM Intelligence technology is available with new in-cab controls that provide control and customization. The IntelliView 12 monitor offers quick configuration and advanced features such as custom layout options, 3D maps, touchscreen or encoder navigation and integration with PLM 1 and PLM 2 guidance subscriptions. Additionally, MYPLMCONNECT is available for operators to manage farm, fleet and data. The lineup comes with five-year Advanced Telematics while the tractors feature FPT Cursor 9 or Cursor 13 engines with ECOBlue HI-eSCR after treatment to keep fuel and maintenance costs low too. Moreover, the models come with Comfort Ride cab suspension and an ergonomic seat. The orders for the model year 2020 T9 with PLM Intelligence tractors will be taken beginning spring 2020, with the first units to be delivered in summer 2020.
(SONEAN: NH’s sister brand Steyr, at FIMA 2020, won its first award in the Iberian market for its 6300 Terrus CVT only one year after the relaunch of the brand in Spain. The 6300 Terrus CVT was awarded “Tractor of Spain 2020” in the “over 200 hp” category. See the context for more details)";;Besides the 6300 model Steyr’s Terrus CVT includes two other models: 6270 and 6250. All models meet the Stage V standard. The strongest model of Steyr’s portfolio, the Terrus CVT features the S-Turn II system that provides a fully-automated and easy-to-perform turn on headlands, the optional S-Brake trailer braking system that allows to stabilize the tractor and the trailer, and the S-Guide RTK+ guidance system with a precision of up to 1.5 cm. According to Farming Agrícola, the exclusive distributor of Steyr tractors in Spain and Portugal that had begun the establishment and development of the Steyr brand in the past year, the award is a confirmation of the true potential of Steyr in the region. The distributor will continue the investments to grow further as its customers have been showing a growing interest for the brand (https://bit.ly/3cmPbSV).;New Holland (CNHI),STEYR Traktoren (CNHI);Spain,United States;Product Launches,Tractors,>100 HP,Reporting,Precision Technology,Telematics
Premosys: Sensoren unterscheiden Unkraut von Nutzpflanzen;Premosys: sensors distinguish weeds from crops;Competitors and Suppliers;https://www.topagrar.com/technik/news/premosys-sensoren-unterscheiden-unkraut-von-nutzpflanzen-11987640.html?utm_content=index;2020-03-02;The Federal Minister of Agriculture of Germany, Julia Klöckner, visited Premosys GmbH (https://www.premosys.de/), a German electronics company that has developed a sensor to reduce the use of fertilisers and crop protection products. Together with the University of Bonn, Premosys developed the so-called GG Detector, which uses electronic colour measurement by sensors to distinguish crops from weeds, enabling precise dosing of fertilisers and pesticides. The system detects colours at speeds of up to 25 km/h and is independent of ambient light. The exact dosage is expected to save up to 90% of the amount of pesticides. It is possible to attach the GG-Detector to different equipment and machines. The German Ministry has set up a fund of EUR 50 mn for digital technology for crop production and animal husbandry to be developed and tested for their practical suitability.;;;Ministry of Agriculture@Government of Germany,Premosys GmbH,University of Bonn;Germany;Product Launches,Precision Technology,Alliances,Grants,Subsidies
Farmers Edge and Nufarm Brasil Strike Landmark Partnership to Digitize Three Million Acres of Farmland in Brazil by 2023;;Competitors and Suppliers;https://www.farmersedge.ca/farmers-edge-and-nufarm-brasil-strike-landmark-partnership-to-digitize-three-million-acres-of-farmland-in-brazil-by-2023/;2020-03-02;Farmers Edge and Nufarm Brasil, a crop protection company, announced an exclusive, 3-year partnership to digitize at least three million acres of farmland in Brazil by 2023. Farmers Edge and Nufarm will provide improved crop protection and modern tools growers need for making better-informed agronomic decisions to maximize profitability. This partnership is said to also enable Nufarm representatives to innovate their business model and services, shifting from selling products to selling outcomes. Growers will be able to share their data with their representative through Farmers Edge’s FarmCommand platform.;;;Farmers Edge,Nufarm Brasil;Brazil,United States;Alliances,Precision Technology,Digitalization
